id,game_id,date,home_team,away_team,home_goals,away_goals,venue,WINNER,time,odds_1,odds_x,odds_y
174,2018020089,2018-10-18,Ducks,Islanders,4,1,Honda Center,Ducks,07:30,2.14,4.2,3.05
175,2018020090,2018-10-18,Maple Leafs,Penguins,0,3,Scotiabank Arena,Penguins,04:30,2.11,4.6,2.9
176,2018020091,2018-10-18,Devils,Avalanche,3,5,Prudential Center,Avalanche,04:30,2.13,4.33,2.96
177,2018020092,2018-10-18,Blue Jackets,Flyers,6,3,Nationwide Arena,Blue Jackets,04:30,2.04,4.4,3.25
178,2018020044,2018-10-11,Ducks,Coyotes,2,3,Honda Center,Coyotes,07:30,2.05,4.4,3.2
179,2018020045,2018-10-11,Bruins,Oilers,4,1,TD Garden,Bruins,04:30,1.96,4.5,3.35
180,2018020046,2018-10-11,Sabres,Avalanche,1,6,KeyBank Center,Avalanche,04:30,2.7,4.2,2.4
181,2018020047,2018-10-11,Panthers,Blue Jackets,4,5,BB&T Center,Blue Jackets,04:30,2.25,4.33,2.83
182,2018020090,2018-10-18,Maple Leafs,Penguins,0,3,Scotiabank Arena,Penguins,04:30,2.11,4.6,2.9
183,2018020091,2018-10-18,Devils,Avalanche,3,5,Prudential Center,Avalanche,04:30,2.13,4.33,2.96
184,2018020092,2018-10-18,Blue Jackets,Flyers,6,3,Nationwide Arena,Blue Jackets,04:30,2.04,4.4,3.25
185,2018020093,2018-10-18,Lightning,Red Wings,3,1,Amalie Arena,Lightning,05:00,1.55,5.35,5.3
186,2018020093,2018-10-18,Lightning,Red Wings,3,1,Amalie Arena,Lightning,05:00,1.55,5.35,5.3
187,2018020138,2018-10-26,Wild,Kings,4,1,Xcel Energy Center,Wild,05:30,2.0,4.4,3.54
188,2018020139,2018-10-26,Blackhawks,Rangers,4,1,United Center,Blackhawks,06:00,2.04,4.35,3.18
189,2018020140,2018-10-26,Stars,Ducks,5,2,American Airlines Center,Stars,06:00,2.03,4.2,3.35
190,2018020094,2018-10-19,Jets,Canucks,4,1,Bell MTS Place,Jets,05:30,1.64,5.6,4.85
191,2018020094,2018-10-19,Jets,Canucks,4,1,Bell MTS Place,Jets,05:30,1.64,5.6,4.85
192,2018020139,2018-10-26,Blackhawks,Rangers,4,1,United Center,Blackhawks,06:00,2.04,4.35,3.18
193,2018020095,2018-10-19,Blackhawks,Coyotes,1,4,United Center,Coyotes,06:00,2.03,4.6,3.2
194,2018020095,2018-10-19,Blackhawks,Coyotes,1,4,United Center,Coyotes,06:00,2.03,4.6,3.2
195,2018020096,2018-10-19,Oilers,Bruins,3,2,Rogers Place,Oilers,06:30,2.67,4.5,2.3
196,2018020096,2018-10-19,Oilers,Bruins,3,2,Rogers Place,Oilers,06:30,2.67,4.5,2.3
197,2018020097,2018-10-19,Kings,Islanders,2,7,STAPLES Center,Islanders,08:00,2.01,4.2,3.65
198,2018020098,2018-10-19,Sharks,Sabres,5,1,SAP Center at San Jose,Sharks,08:00,1.7,4.9,4.75
199,2018020140,2018-10-26,Stars,Ducks,5,2,American Airlines Center,Stars,06:00,2.03,4.2,3.35
200,2018020141,2018-10-26,Flames,Penguins,1,9,Scotiabank Saddledome,Penguins,06:30,2.39,4.45,2.53
201,2018020142,2018-10-26,Oilers,Capitals,4,1,Rogers Place,Oilers,06:30,2.65,4.33,2.38
202,2018020097,2018-10-19,Kings,Islanders,2,7,STAPLES Center,Islanders,08:00,2.01,4.2,3.65
203,2018020141,2018-10-26,Flames,Penguins,1,9,Scotiabank Saddledome,Penguins,06:30,2.39,4.45,2.53
204,2018020142,2018-10-26,Oilers,Capitals,4,1,Rogers Place,Oilers,06:30,2.65,4.33,2.38
205,2018020143,2018-10-26,Coyotes,Canucks,4,1,Gila River Arena,Coyotes,07:30,1.82,4.45,4.1
206,2018020143,2018-10-26,Coyotes,Canucks,4,1,Gila River Arena,Coyotes,07:30,1.82,4.45,4.1
207,2018020098,2018-10-19,Sharks,Sabres,5,1,SAP Center at San Jose,Sharks,08:00,1.7,4.9,4.75
208,2018020144,2018-10-26,Golden Knights,Lightning,2,3,T-Mobile Arena,Lightning,03:30,2.64,4.25,2.43
209,2018020099,2018-10-19,Capitals,Panthers,5,6,Capital One Arena,Panthers,04:30,2.14,4.65,3.16
210,2018020099,2018-10-19,Capitals,Panthers,5,6,Capital One Arena,Panthers,04:30,2.14,4.65,3.16
211,2018020144,2018-10-26,Golden Knights,Lightning,2,3,T-Mobile Arena,Lightning,03:30,2.64,4.25,2.43
212,2018020100,2018-10-20,Stars,Wild,1,3,American Airlines Center,Wild,05:30,2.08,4.65,3.1
213,2018020145,2018-10-26,Red Wings,Jets,1,2,Little Caesars Arena,Jets,05:00,3.38,4.5,2.01
214,2018020100,2018-10-20,Stars,Wild,1,3,American Airlines Center,Wild,05:30,2.08,4.65,3.1
215,2018020146,2018-10-26,Hurricanes,Sharks,4,3,PNC Arena,Hurricanes,05:00,2.5,4.3,2.6
